""Great Performances"" Cats (1998) : 6625
'burbs, The (1989) : 1632
Easter Parade (1948) : 5687
Eastern Promises (2007) : 6759
Easy A (2010) : 7596
Easy Money (1983) : 3076
Easy Rider (1969) : 2547
Eat Drink Man Woman (Yin shi nan nu) (1994) : 204
Eat Pray Love (2010) : 7597
Eat Sleep Die (Äta sova dö) (2012) : 8218
Eaten Alive (1977) : 2641
Eating Raoul (1982) : 4383
Eaux d'artifice (1953) : 8040
Echelon Conspiracy (2009) : 7167
Ed (1996) : 545
Ed Wood (1994) : 207
Eddie (1996) : 565
Eddie Murphy Delirious (1983) : 5788
Eddie Murphy Raw (1987) : 3278
Eddie and the Cruisers (1983) : 3609
Eden (2006) : 7748
Eden Lake (2008) : 7134
Edge of Darkness (2010) : 7424
Edge of Seventeen (1998) : 2101
Edge of Tomorrow (2014) : 8563
Educating Rita (1983) : 5341
Edward II (1991) : 6442
Edward Scissorhands (1990) : 1813
Eight Below (2006) : 6353
Eight Crazy Nights (Adam Sandler's Eight Crazy Nights) (2002) : 4356
Eight Legged Freaks (2002) : 4154
Eight Men Out (1988) : 3428
Eighteen (2005) : 8928
El Dorado (1966) : 2783
El vals de los inútiles (2014) : 8906
Election (1999) : 2082
Electra Glide in Blue (1973) : 6090
Electric Dreams (1984) : 5797
Elegy (2008) : 6996
Elektra (2005) : 6003
Elektra Luxx (2010) : 7800
Elephant (2003) : 4858
Elf (2003) : 4873
Elite Squad (Tropa de Elite) (2007) : 6791
Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) (2010) : 7737
Elizabeth (1998) : 1849
Elizabeth: The Golden Age (2007) : 6773
Elizabethtown (2005) : 6241
Ella Enchanted (2004) : 5128
Elmer Gantry (1960) : 3339
Elsa & Fred (2014) : 8754
Elvis: That's the Way It Is (1970) : 3334
Elysium (2013) : 8319
Emma (1996) : 681
Emma (2009) : 7722
Emmanuelle (1974) : 5755
Empire (2002) : 4366
Empire Falls (2005) : 6510
Empire Records (1995) : 2776
Empire of Dreams: The Story of the 'Star Wars' Trilogy (2004) : 7546
Empire of Passion (a.k.a. In the Realm of Passion) (a.k.a. Phantom Love) (Ai No Borei) (1978) : 2845
Empire of the Sun (1987) : 3279
Employee of the Month (2004) : 6020
Employee of the Month (2006) : 6521
Enchanted (2007) : 6812
Enchanted April (1992) : 936
Encino Man (1992) : 2599
Encounters at the End of the World (2008) : 6968
End of Days (1999) : 2505
End of Watch (2012) : 8115
End of the Spear (2005) : 6453
Ender's Game (2013) : 8406
Endless Love (1981) : 4284
Endurance (1999) : 2102
Enemies: A Love Story (1989) : 3610
Enemy (2013) : 8484
Enemy Mine (1985) : 5156
Enemy at the Gates (2001) : 3364
Enemy of the State (1998) : 1864
Enigma (2001) : 4064
Enough (2002) : 4106
Enough Said (2013) : 8388
Enron: The Smartest Guys in the Room (2005) : 6112
Enter the Dragon (1973) : 5157
Enter the Void (2009) : 7542
Entourage (2015) : 8862
Entrapment (1999) : 2084
Envy (2004) : 5145
Epic (2013) : 8299
Epic Movie (2007) : 6600
Equilibrium (2002) : 4368
Equus (1977) : 4522
Eragon (2006) : 6564
Eraser (1996) : 650
Eraserhead (1977) : 2930
Erik the Viking (1989) : 3611
Erin Brockovich (2000) : 2719
Ernest Goes to Camp (1987) : 3280
Ernest Saves Christmas (1988) : 3551
Ernest Scared Stupid (1991) : 4209
Escaflowne: The Movie (Escaflowne) (2000) : 3923
Escape from Alcatraz (1979) : 5378
Escape from L.A. (1996) : 690
Escape from New York (1981) : 906
Escape from the Planet of the Apes (1971) : 2030
Escape to Witch Mountain (1975) : 813
Eternal Sunshine of the Spotless Mind (2004) : 5116
Eternity and a Day (Mia aoniotita kai mia mera) (1998) : 2140
Eulogy (2004) : 5587
Eureka (Yurîka) (2000) : 3394
EuroTrip (2004) : 5095
Europa (Zentropa) (1991) : 4892
Europa Europa (Hitlerjunge Salomon) (1990) : 4523
European Vacation (aka National Lampoon's European Vacation) (1985) : 2238
Evan Almighty (2007) : 6710
Evangelion: 1.0 You Are (Not) Alone (Evangerion shin gekijôban: Jo) (2007) : 7270
Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha) (2009) : 7707
Evangelion: 3.0 You Can (Not) Redo (2012) : 8438
Eve's Bayou (1997) : 1320
Evelyn (2002) : 4389
Even Cowgirls Get the Blues (1993) : 393
Even Dwarfs Started Small (Auch Zwerge haben klein angefangen) (1971) : 2574
Event Horizon (1997) : 1262
Ever After: A Cinderella Story (1998) : 1685
Everest (1998) : 1401
Everest (2015) : 8959
Every Little Step (2008) : 7204
Every Thing Will Be Fine (2015) : 8794
Every Which Way But Loose (1978) : 4102
Everybody's All-American (1988) : 3552
Everybody's Fine (2009) : 7382
Everyone Else (Alle Anderen) (2009) : 7537
Everyone Says I Love You (1996) : 856
Everyone's Hero (2006) : 6505
Everything Is Illuminated (2005) : 6204
Everything Must Go (2010) : 7795
Everything You Always Wanted to Know About Sex * But Were Afraid to Ask (1972) : 3048
Everything or Nothing: The Untold Story of 007 (2012) : 8226
Everything's Gonna Be Great (1998) : 8911
Evil (Ondskan) (2003) : 5911
Evil Dead II (Dead by Dawn) (1987) : 1015
Evil Under the Sun (1982) : 4451
Evita (1996) : 1150
Evocateur: The Morton Downey Jr. Movie (2012) : 8375
Evolution (2001) : 3441
Ex Drummer (2007) : 6945
Ex Machina (2015) : 8668
Exam (2009) : 7529
Excalibur (1981) : 2301
Excess Baggage (1997) : 1277
Excision (2012) : 8157
Executive Decision (1996) : 441
Executive Suite (1954) : 5409
Exit Through the Gift Shop (2010) : 7501
Exit Wounds (2001) : 3365
Exit to Eden (1994) : 206
Exodus (1960) : 4313
Exodus: Gods and Kings (2014) : 8686
Exorcist II: The Heretic (1977) : 1560
Exotica (1994) : 205
Experience Preferred... But Not Essential (1982) : 2450
Explorers (1985) : 5207
Extract (2009) : 7300
Extreme Days (2001) : 3765
Extreme Measures (1996) : 807
Extreme Ops (2002) : 4357
Extreme Prejudice (1987) : 3282
Extremely Loud and Incredibly Close (2011) : 7919
Extremities (1986) : 1929
Eye for an Eye (1996) : 57
Eye of the Beholder (1999) : 2595
Eye of the Needle (1981) : 4285
Eyes Wide Shut (1999) : 2169
Eyes of Laura Mars (1978) : 2749
F/X (1986) : 3010
F/X2 (a.k.a. F/X 2 - The Deadly Art of Illusion) (1991) : 3011
FAQs (2005) : 8944
FLCL (2000) : 7029
Face to Face (Ansikte mot ansikte) (1976) : 5275
Face/Off (1997) : 1251
Faces (1968) : 594
Faces of Death (1978) : 4287
Faces of Death 2 (1981) : 4286
Faces of Death 3 (1985) : 4288
Faces of Death 4 (1990) : 4289
Factory Girl (2006) : 6619
Fados (2007) : 7957
Fahrenheit 451 (1966) : 4568
Fahrenheit 9/11 (2004) : 5467
Fail-Safe (1964) : 5165
Failure to Launch (2006) : 6360
Fair Game (1995) : 66
Fair Game (2010) : 7638
FairyTale: A True Story (1997) : 1316
Faithful (1996) : 570
Fallen (1998) : 1379
Fallen Angels (Duo luo tian shi) (1995) : 1382
Falling Down (1993) : 2426
Fame (1980) : 3831
Family Band: The Cowsills Story (2011) : 8371
Family Business (1989) : 3613
Family Guy Presents Stewie Griffin: The Untold Story (2005) : 6206
Family Guy Presents: It's a Trap (2010) : 7751
Family Plot (1976) : 1730
Fanboys (2009) : 7200
Fandango (1985) : 1633
Fando and Lis (Fando y Lis) (1968) : 5731
Fanny (1961) : 7063
Fanny and Alexander (Fanny och Alexander) (1982) : 1628
Fantasia (1940) : 1036
Fantasia 2000 (1999) : 2540
Fantastic Four (2005) : 6160
Fantastic Four (2015) : 8750
Fantastic Four: Rise of the Silver Surfer (2007) : 6697
Fantastic Mr. Fox (2009) : 7353
Fantastic Voyage (1966) : 3138
Far Cry (2008) : 7157
Far From Home: The Adventures of Yellow Dog (1995) : 210
Far and Away (1992) : 2615
Far from Heaven (2002) : 4319
Far from the Madding Crowd (1967) : 6754
Far from the Madding Crowd (2015) : 8840
Farewell My Concubine (Ba wang bie ji) (1993) : 395
Fargo (1996) : 535
Farinelli: il castrato (1994) : 214
Fashion Victims (2007) : 8942
Fast Times at Ridgemont High (1982) : 2581
Faster Pussycat! Kill! Kill! (1965) : 352
Fat Albert (2004) : 5986
Fat City (1972) : 4411
Fata Morgana (1971) : 6025
Fatal Attraction (1987) : 2493
Fatal Beauty (1987) : 2969
Fatal Instinct (1993) : 394
Father Goose (1964) : 3748
Father of the Bride (1950) : 754
Father of the Bride (1991) : 4876
Father of the Bride Part II (1995) : 4
Fathers' Day (1997) : 1223
Faust (1926) : 3484
Fawlty Towers (1975-1979) : 8478
Fear (1996) : 568
Fear and Loathing in Las Vegas (1998) : 1455
Fear of a Black Hat (1994) : 398
FearDotCom (a.k.a. Fear.com) (a.k.a. Fear Dot Com) (2002) : 4193
Fearless (1993) : 397
Feast of July (1995) : 146
Feeling Minnesota (1996) : 591
Felicia's Journey (1999) : 2456
Fellini Satyricon (1969) : 3404
Felon (2008) : 6981
Felony (2013) : 8609
Female Perversions (1996) : 1063
Female Trouble (1975) : 3791
Female on the Beach (1955) : 8955
Femme Fatale (2002) : 4317
Fermat's Room (La habitación de Fermat) (2007) : 7452
Fern flowers (Fleur de fougère) (1949) : 7695
Ferngully: The Last Rainforest (1992) : 3975
Ferris Bueller's Day Off (1986) : 2340
Festival Express (2003) : 5939
Fever Pitch (1997) : 2376
Fever Pitch (2005) : 6089
Fiddler on the Roof (1971) : 3787
Fido (2006) : 6699
Field of Dreams (1989) : 1055
Fierce Creatures (1997) : 1156
Fifty Shades of Grey (2015) : 8757
Fight Club (1999) : 2374
Filth (2013) : 8398
Final Destination (2000) : 2720
Final Destination 2 (2003) : 4444
Final Destination 3 (2006) : 6341
Final Destination 5 (2011) : 7836
Final Fantasy VII: Advent Children (2004) : 6226
Final Fantasy: The Spirits Within (2001) : 3510
Find Me Guilty (2006) : 6366
Finding Dory (2016) : 9033
Finding Forrester (2000) : 3220
Finding Nemo (2003) : 4604
Finding Neverland (2004) : 5618
Finding Vivian Maier (2013) : 8582
Fingers (1978) : 4332
Fiorile (1993) : 6929
Fire Down Below (1997) : 1295
Fire and Ice (1983) : 3902
Fire in the Sky (1993) : 5638
Fire with Fire (2012) : 8193
Fired Up (2009) : 7216
Firefox (1982) : 4452
Firelight (1997) : 1746
Fireproof (2008) : 7074
Firestarter (1984) : 2962
Firestorm (1998) : 1372
Firewall (2006) : 6348
Fireworks (Hana-bi) (1997) : 1409
Fireworks Wednesday (Chaharshanbe-soori) (2006) : 8456
First Blood (Rambo: First Blood) (1982) : 1913
First Kid (1996) : 708
First Knight (1995) : 147
First Monday in October (1981) : 4290
First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo) (1996) : 1159
Firstborn (1984) : 8543
Fish Tank (2009) : 7431
Fist of Legend (Jing wu ying xiong) (1994) : 5859
Fitzcarraldo (1982) : 2382
Five Corners (1987) : 3283
Five Easy Pieces (1970) : 2573
Five Minutes of Heaven (2009) : 7485
Flags of Our Fathers (2006) : 6536
Flaming Creatures (1963) : 7385
Flash Gordon (1980) : 3832
Flashdance (1983) : 2361
Flatliners (1990) : 2940
Flawless (1999) : 2507
Flawless (2007) : 6848
Fled (1996) : 664
Flesh & Blood (1985) : 5088
Flesh Gordon (1974) : 6950
Flesh and Bone (1993) : 400
Flesh for Frankenstein (a.k.a. Andy Warhol's Frankenstein) (1973) : 5757
Fletch (1985) : 1881
Fletch Lives (1989) : 1882
Flicka (2006) : 6537
Flickering Lights (Blinkende lygter) (2000) : 4564
Flight (2012) : 8154
Flight of the Intruder (1991) : 4672
Flight of the Navigator (1986) : 1607
Flight of the Phoenix (2004) : 5947
Flightplan (2005) : 6218
Flipped (2010) : 7601
Flipper (1963) : 5554
Flipper (1996) : 602
Flirt (1995) : 688
Flirting (1991) : 4239
Flirting With Disaster (1996) : 113
Flowers in the Attic (1987) : 3284
Flubber (1997) : 1350
Fluke (1995) : 213
Flushed Away (2006) : 6543
Fly Away Home (1996) : 796
Flyboys (2006) : 6513
Flying Tigers (1942) : 2897
Focus (2015) : 8793
Follow the Fleet (1936) : 4948
Following (1998) : 2068
Following Sean (2005) : 6936
Fool for Love (1985) : 5397
Fool's Gold (2008) : 6863
Fools Rush In (1997) : 1179
Footloose (1984) : 3031
Footloose (2011) : 7881
For All Mankind (1989) : 2670
For Love of the Game (1999) : 2291
For Love or Money (1993) : 402
For Richer or Poorer (1997) : 1351
For Roseanna (Roseanna's Grave) (1997) : 1245
For Whom the Bell Tolls (1943) : 718
For Your Consideration (2006) : 6547
For Your Eyes Only (1981) : 2400
For a Few Dollars More (Per qualche dollaro in più) (1965) : 2935
For the Birds (2000) : 8076
For the Boys (1991) : 3406
For the Love of Benji (1977) : 2928
Forbidden Games (Jeux interdits) (1952) : 4899
Forbidden Planet (1956) : 1054
Forbidden Zone (1980) : 3903
Force 10 from Navarone (1978) : 2811
Force Majeure (Turist) (2014) : 8638
Force of Evil (1948) : 623
Forces of Nature (1999) : 2050
Foreign Correspondent (1940) : 749
Forever Young (1992) : 2625
Forget Paris (1995) : 209
Forgetting Sarah Marshall (2008) : 6905
Forgotten Silver (1996) : 3446
Forks Over Knives (2011) : 7995
Formula 51 (2001) : 4261
Forrest Gump (1994) : 321
Fortress (1992) : 5851
Foul Play (1978) : 4991
Four Brothers (2005) : 6184
Four Christmases (2008) : 7072
Four Lions (2010) : 7505
Four Rooms (1995) : 17
Four Weddings and a Funeral (1994) : 322
Fox and His Friends (Faustrecht der Freiheit) (1975) : 4151
Foxcatcher (2014) : 8674
Foxfire (1996) : 678
Foxfire (2012) : 8308
Fracture (2007) : 6660
Frailty (2001) : 4047
Frances (1982) : 2208
Frances Ha (2012) : 8302
Frank (2014) : 8583
Frankenhooker (1990) : 5822
Frankenstein (1931) : 2120
Frankenstein Meets the Wolf Man (1943) : 2123
Frankie Starlight (1995) : 117
Frankie and Johnny (1966) : 3405
Frantic (1988) : 3553
Fraternity Vacation (1985) : 4038
Freakonomics (2010) : 7848
Freaks (1932) : 5424
Freaky Friday (1977) : 1576
Freaky Friday (1995),(no genres listed) : 8888
Freaky Friday (2003) : 4708
Freddy Got Fingered (2001) : 3386
Freddy vs. Jason (2003) : 4720
Free Enterprise (1998) : 2145
Free Fall (2013) : 8680
Free Willy (1993) : 404
Free Willy 2: The Adventure Home (1995) : 148
Free Willy 3: The Rescue (1997) : 1267
Freedom Writers (2007) : 6572
Freejack (1992) : 3040
Freeway (1996) : 838
French Kiss (1995) : 208
French Twist (Gazon maudit) (1995) : 63
Frenzy (1972) : 1731
Frequency (2000) : 2804
Frequently Asked Questions About Time Travel (2009) : 7292
Fresh (1994) : 405
Frida (2002) : 4309
Friday (1995) : 64
Friday After Next (2002) : 4352
Friday Night Lights (2004) : 5598
Friday the 13th (1980) : 1536
Friday the 13th Part 2 (1981) : 1537
Friday the 13th Part 3: 3D (1982) : 1538
Friday the 13th Part IV: The Final Chapter (1984) : 1539
Friday the 13th Part V: A New Beginning (1985) : 1540
Friday the 13th Part VI: Jason Lives (1986) : 1541
Friday the 13th Part VII: The New Blood (1988) : 1542
Friday the 13th Part VIII: Jason Takes Manhattan (1989) : 1543
Fried Green Tomatoes (1991) : 1025
Friendly Persuasion (1956) : 3243
Friends & Lovers (1999) : 2076
Friends and Family (2001) : 4600
Friends with Benefits (2011) : 7828
Friends with Kids (2011) : 7942
Friends with Money (2006) : 6393
Fright Night (1985) : 2296
Fright Night (2011) : 7840
Fright Night Part II (1988) : 2297
Fritz the Cat (1972) : 3877
Frogs for Snakes (1998) : 2106
From Beyond (1986) : 5295
From Dusk Till Dawn (1996) : 65
From Hell (2001) : 3792
From Here to Eternity (1953) : 1506
From Paris with Love (2010) : 7457
From Russia with Love (1963) : 2367
From Up on Poppy Hill (Kokuriko-zaka kara) (2011) : 8179
From the Earth to the Moon (1998) : 5867
From the Hip (1987) : 2203
From the Sky Down (2011) : 8279
From the Terrace (1960) : 4643
Frontière(s) (2007) : 7143
Frost/Nixon (2008) : 7090
Frozen (2013) : 8432
Frozen Planet (2011) : 8250
Frozen River (2008) : 6989
Fruitvale Station (2013) : 8332
Fubar (2002) : 5900
Full Frontal (2002) : 3983
Full Metal Jacket (1987) : 978
Fullmetal Alchemist the Movie: Conqueror of Shamballa (Gekijô-ban hagane no renkinjutsushi: Shanbara wo yuku mono) (2005) : 7213
Fullmetal Alchemist: The Sacred Star of Milos (2011) : 8314
Fulltime Killer (Chuen jik sat sau) (2001) : 4667
Fun and Fancy Free (1947) : 3007
Fun with Dick and Jane (2005) : 6303
Funeral in Berlin (1966) : 3828
Funny Bones (1995) : 2750
Funny Face (1957) : 722
Funny Farm (1988) : 2240
Funny Games (1997) : 4894
Funny Games U.S. (2007) : 6880
Funny Girl (1968) : 3818
Funny Lady (1975) : 3956
Funny People (2009) : 7148
Furious 7 (2015) : 8815
Fury (1936) : 5661
Fury (2014) : 8658
Futurama: Bender's Big Score (2007) : 6818
Futurama: Bender's Game (2008) : 7047
Futurama: Into the Wild Green Yonder (2009) : 7142
Futurama: The Beast with a Billion Backs (2008) : 6964
G-Force (2009) : 7278
G.I. Blues (1960) : 2875
G.I. Jane (1997) : 1258
G.I. Joe: Retaliation (2013) : 8258
G.I. Joe: The Rise of Cobra (2009) : 7265
G.O.R.A. (2004) : 6518
Gabbeh (1996) : 1252
Galaxy Quest (1999) : 2552
Galaxy of Terror (Quest) (1981) : 4292
Gallipoli (1981) : 4293
Game Change (2012) : 7997
Game of Death (1978) : 3505
Gamer (2009) : 7302
Gandhi (1982) : 1047
Gangs of New York (2002) : 4394
Gangster Squad (2013) : 8219
Gantz (2011) : 7835
Garden State (2004) : 5523
Gardens of Stone (1987) : 3285
Garfield: A Tail of Two Kitties (2006) : 6439
Garfield: The Movie (2004) : 5391
GasLand (2010) : 7587
Gaslight (1940) : 5669
Gaslight (1944) : 727
Gates of Heaven (1978) : 5775
Gattaca (1997) : 1315
Gay Purr-ee (1962) : 4622
Generation Kill (2008) : 8481
Genghis Blues (1999) : 5220
Gentleman's Agreement (1947) : 1502
Gentlemen Broncos (2009) : 7352
Gentlemen Prefer Blondes (1953) : 3452
Gentlemen of Fortune (Dzhentlmeny udachi) (1972) : 7451
Geography Club (2013) : 8447
George Carlin: Back in Town (1996) : 8884
George Carlin: It's Bad for Ya! (2008) : 8796
George Carlin: Jammin' in New York (1992) : 8922
George Carlin: Life Is Worth Losing (2005) : 8819
George Carlin: You Are All Diseased (1999) : 8885
George Harrison: Living in the Material World (2011) : 7903
George Washington (2000) : 4028
George of the Jungle (1997) : 1260
Georgia (1995) : 52
Georgy Girl (1966) : 6174
Geri's Game (1997) : 8068
Germany Year Zero (Germania anno zero) (Deutschland im Jahre Null) (1948) : 6047
Germinal (1993) : 504
Geronimo: An American Legend (1993) : 407
Gerontophilia (2013) : 8503
Gerry (2002) : 4486
Get Bruce (1999) : 2151
Get Carter (1971) : 3155
Get Carter (2000) : 3154
Get Hard (2015) : 8821
Get Him to the Greek (2010) : 7523
Get Out Your Handkerchiefs (Préparez vos mouchoirs) (1978) : 3935
Get Over It (2001) : 3321
Get Real (1998) : 2086
Get Rich or Die Tryin' (2005) : 6268
Get Shorty (1995) : 20
Get Smart (2008) : 6960
Get Your Stuff (2000) : 8929
Get on Up (2014) : 8610
Get on the Bus (1996) : 853
Getaway (2013) : 8376
Getting Even with Dad (1994) : 409
Getting It Right (1989) : 5251
Gettysburg (1993) : 3244
Ghost (1990) : 520
Ghost Dad (1990) : 5823
Ghost Dog: The Way of the Samurai (1999) : 2665
Ghost Rider (2007) : 6611
Ghost Rider: Spirit of Vengeance (2012) : 7980
Ghost Ship (2002) : 4305
Ghost Town (2008) : 7020
Ghost World (2001) : 3644
Ghost in the Shell (Kôkaku kidôtai) (1995) : 619
Ghost in the Shell 2.0 (2008) : 8886
Ghost in the Shell 2: Innocence (a.k.a. Innocence) (Inosensu) (2004) : 5919
Ghostbusters (2016) : 9046
Ghostbusters (a.k.a. Ghost Busters) (1984) : 2173
Ghostbusters II (1989) : 2174
Ghosts of Girlfriends Past (2009) : 7237
Ghosts of Mars (2001) : 3711
Ghosts of Mississippi (1996) : 1138
Ghoulies (1985) : 3167
Ghoulies II (1987) : 3168
Gia (1998) : 5869
Giant (1956) : 768
Gidget (1959) : 5265
Gigantic (2008) : 7274
Gigantic (A Tale of Two Johns) (2002) : 4603
Gigi (1958) : 758
Gigli (2003) : 4705
Gilda (1946) : 2359
Gimme Shelter (1970) : 5158
Ginger Snaps (2000) : 4822
Ginger Snaps Back: The Beginning (2004) : 5926
Ginger and Fred (Ginger e Fred) (1986) : 5806
Girl (1998) : 5188
Girl 6 (1996) : 558
Girl Model (2011) : 8232
Girl with a Pearl Earring (2003) : 5015
Girlfight (2000) : 3126
Girlhood (2003) : 4869
Girls Just Want to Have Fun (1985) : 3360
Girls Will Be Girls (2003) : 4848
Gladiator (1992) : 5328
Gladiator (2000) : 2860
Glen Campbell: I'll Be Me (2014) : 8966
Glen or Glenda (1953) : 1872
Glengarry Glen Ross (1992) : 886
Glitter (2001) : 3740
Gloria (1980) : 3985
Gloria (1999) : 1984
Glory (1989) : 996
Glory Road (2006) : 6319
Gnomeo & Juliet (2011) : 7718
Go (1999) : 2069
Go Fish (1994) : 410
Go West (1925) : 2519
Go West (1940) : 6208
God Bless America (2011) : 8009
God Said 'Ha!' (1998) : 2001
Gods and Generals (2003) : 4496
Gods and Monsters (1998) : 1846
Godsend (2004) : 5146
Godzilla (1998) : 1453
Godzilla (2014) : 8551
Godzilla (Gojira) (1954) : 1873
Godzilla 2000 (Gojira ni-sen mireniamu) (1999) : 3090
Godzilla vs. Mechagodzilla II (Gojira VS Mekagojira) (1993) : 6054
Godzilla vs. Mothra (Mosura tai Gojira) (1964) : 4240
Going Clear: Scientology and the Prison of Belief (2015) : 8770
Going My Way (1944) : 1499
Going the Distance (2010) : 7590
Gold Diggers: The Secret of Bear Mountain (1995) : 628
GoldenEye (1995) : 9
Goldfinger (1964) : 2366
Gomorrah (Gomorra) (2008) : 7027
Gone (2012) : 7985
Gone Baby Gone (2007) : 6777
Gone Fishin' (1997) : 702
Gone Girl (2014) : 8589
Gone in 60 Seconds (1974) : 5758
Gone in 60 Seconds (2000) : 2970
Gone with the Wind (1939) : 741
Gonzo: The Life and Work of Dr. Hunter S. Thompson (2008) : 6965
Good Burger (1997) : 4650
Good Hair (2009) : 7348
Good Luck Chuck (2007) : 6764
Good Will Hunting (1997) : 1352
Goodbye Lover (1999) : 2074
Goodfellas (1990) : 969
Goon (2011) : 7996
Goosebumps (2015) : 8972
Gordy (1995) : 215
Gorillas in the Mist (1988) : 3554
Gorky Park (1983) : 4904
Gosford Park (2001) : 3884
Gossip (2000) : 2839
Gotcha! (1985) : 4761
Gothic (1986) : 2761
Gothika (2003) : 4881
Goya in Bordeaux (Goya en Burdeos) (1999) : 3116
Gozu (Gokudô kyôfu dai-gekijô: Gozu) (2003) : 5970
Grace (2009) : 7318
Grace of My Heart (1996) : 798
Gracie (2007) : 6687
Gran Torino (2008) : 7089
Grand Canyon (1991) : 1672
Grand Hotel (1932) : 1492
Grand Illusion (La grande illusion) (1937) : 2520
Grandma's Boy (2006) : 6317
Grave Encounters 2 (2012) : 8437
Grave of the Fireflies (Hotaru no haka) (1988) : 4269
Graveyard Shift (Stephen King's Graveyard Shift) (1990) : 1673
Gravity (2013) : 8377
Gray Matters (2006) : 6617
Gray's Anatomy (1996) : 3326
Grease (1978) : 1120
Grease 2 (1982) : 1121
Great Expectations (1998) : 1370
Greed (1924) : 5646
Green Card (1990) : 4525
Green Lantern (2011) : 7799
Green Room (2015),(no genres listed) : 8950
Green Street Hooligans (a.k.a. Hooligans) (2005) : 6220
Green Zone (2010) : 7456
Green for Danger (1946) : 6490
Greenberg (2010) : 7459
Gregory's Girl (1981) : 4294
Gremlins (1984) : 1565
Gremlins 2: The New Batch (1990) : 1566
Grey Gardens (1975) : 5365
Grey Gardens (2009) : 7357
Gridlock'd (1997) : 1172
Grill Point (Halbe Treppe) (2002) : 5316
Grindhouse (2007) : 6647
Grizzly Man (2005) : 6186
Groove (2000) : 3030
Gross Anatomy (a.k.a. A Cut Above) (1989) : 3614
Grosse Pointe Blank (1997) : 1209
Groundhog Day (1993) : 1019
Grown Ups (2010) : 7552
Grown Ups 2 (2013) : 8355
Grudge Match (2013) : 8459
Grumpier Old Men (1995) : 2
Grumpy Old Men (1993) : 2754
Guadalcanal Diary (1943) : 3823
Guantanamera (1994) : 1169
Guardians of the Galaxy (2014) : 8603
Guarding Tess (1994) : 4907
Guerrilla: The Taking of Patty Hearst (2004) : 5623
Guess Who (2005) : 6067
Guess Who's Coming to Dinner (1967) : 2755
Guilty as Sin (1993) : 411
Guinevere (1999) : 2313
Gulliver's Travels (1939) : 2325
Gulliver's Travels (2010) : 7675
Gumby: The Movie (1995) : 216
Gummo (1997) : 5865
Gun Crazy (a.k.a. Deadly Is the Female) (1949) : 5510
Gun Shy (2000) : 2632
Gunfight at the O.K. Corral (1957) : 4594
Gung Ho (1986) : 1884
Gunga Din (1939) : 5244
Gunner Palace (2004) : 6050
Guys and Dolls (1955) : 2835
Gypsy (1962) : 2876
Gypsy (1993) : 7083
H.O.T.S. (1979) : 3041
Hachiko: A Dog's Story (a.k.a. Hachi: A Dog's Tale) (2009) : 7400
Hackers (1995) : 149
Hail the Conquering Hero (1944) : 6233
Hair (1979) : 5781
Hairspray (1988) : 2348
Hairspray (2007) : 6679
Half Baked (1998) : 1378
Half Moon Street (1986) : 4656
Half Nelson (2006) : 6479
Half Past Dead (2002) : 4320
Halfmoon (Paul Bowles - Halbmond) (1995) : 608
Hall Pass (2011) : 7729
Halloween (1978) : 1544
Halloween (2007) : 6742
Halloween 4: The Return of Michael Myers (1988) : 1547
Halloween 5: The Revenge of Michael Myers (1989) : 1548
Halloween H20: 20 Years Later (Halloween 7: The Revenge of Laurie Strode) (1998) : 1667
Halloween II (1981) : 1545
Halloween II (2009) : 7288
Halloween III: Season of the Witch (1982) : 1546
Halloween: The Curse of Michael Myers (Halloween 6: The Curse of Michael Myers) (1995) : 714
Halo 4: Forward Unto Dawn (2012) : 8172
Hamlet (1948) : 1503
Hamlet (1964) : 2260
Hamlet (1990) : 2975
Hamlet (1996) : 1146
Hamlet (2000) : 7127
Hancock (2008) : 6958
Handle with Care (a.k.a. Citizen's Band) (1977) : 2345
Hands in the Air (2010) : 8905
Hands on a Hard Body (1996) : 1844
Hang 'Em High (1968) : 2344
Hanging Up (2000) : 2644
Hangmen Also Die! (1943) : 2695
Hanna (2011) : 7760
Hannah and Her Sisters (1986) : 4908
Hannibal (2001) : 3309
Hannibal Rising (2007) : 6602
Hans Christian Andersen (1952) : 3337
Hansel & Gretel: Witch Hunters (2013) : 8236
Happiness (1998) : 1834
Happy (2011) : 8278
Happy Accidents (2000) : 3714
Happy Endings (2005) : 6163
Happy Feet (2006) : 6551
Happy Gilmore (1996) : 96
Happy-Go-Lucky (2008) : 6912
Harakiri (Seppuku) (1962) : 5711
Hard Candy (2005) : 6396
Hard Core Logo (1996) : 1854
Hard Rain (1998) : 1377
Hard Target (1993) : 412
Hard-Boiled (Lat sau san taam) (1992) : 2621
Hardball (2001) : 3737
Hardcore (1979) : 5576
Harlan County U.S.A. (1976) : 5768
Harlem Nights (1989) : 3615
Harley Davidson and the Marlboro Man (1991) : 3347
Harold & Kumar Escape from Guantanamo Bay (2008) : 6909
Harold and Kumar Go to White Castle (2004) : 5532
Harold and Maude (1971) : 990
Harper (1966) : 5314
Harriet the Spy (1996) : 657
Harry Brown (2009) : 7462
Harry Potter and the Chamber of Secrets (2002) : 4321
